FName(String),LName(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Float),Rate(Float),SingleExemp(Float),ChildExemp(Float) 
Hakim,Bra, 606,160-1622,LOUISVILLE,KY,40232,M,N,23500,3.1388888,0,0
Niv,Gelsema, 256,123-1751,AUTAUGAVILLE,AL,36003,M,N,93000,5.0,0,0
Prabhakaran,Majewski, 206,156-1153,KENT,WA,98064,S,Y,49500,0.0,0,0
Ole,Godliman, 203,167-1313,NEW HAVEN,CT,06506,S,Y,59000,5.0,12750,0
Zavid,Chretien, 205,132-1470,LENOX,AL,36454,M,N,36500,5.0,0,0
Tokuji,Brossler, 785,144-1572,UDALL,KS,67146,M,N,24500,5.3683333,0,0
Hacene,Renker, 605,178-1101,DRAPER,SD,57531,M,N,70000,0.0,0,0
Kenichi,Nacsa, 985,121-1548,EVANGELINE,LA,70537,S,Y,11500,2.0,4500,1000
Wendy,Medvidovic, 815,107-1030,CAROL STREAM,IL,60132,S,Y,93500,3.0,2000,2000
Gigliola,Oxman, 302,191-1918,HARRINGTON,DE,19952,S,Y,34500,4.211364,110,110
Takao,Fergany, 802,114-1938,HARTLAND,VT,05048,S,Y,71500,4.4276514,3300,3300
Mathai,Fegeas, 202,172-1615,WASHINGTON,DC,20207,M,N,73500,9.0,0,0
Jiawan,Ennals, 207,154-1010,SUMNER,ME,04292,M,N,74000,8.5,0,0
Naseem,Brownfield, 501,149-1577,LEOLA,AR,72084,S,Y,92000,7.0,20,20
Nachum,Holburn, 919,165-1289,ETHER,NC,27247,M,Y,26000,6.277972,0,3300
Adas,Moshkow, 641,110-1921,BERNARD,IA,52032,S,Y,21000,3.4060307,40,40
Ding,Schwabacher, 859,110-1333,WORTHVILLE,KY,41098,S,Y,68000,5.611111,20,20
Mema,Borgstrom, 740,169-1597,CONVOY,OH,45832,S,Y,6500,0.7617923,1300,1300
Cunsheng,Chouraqui, 307,168-1891,EVANSVILLE,WY,82636,S,Y,65000,0.0,0,0
Oran,Messabih, 925,138-1666,FRESNO,CA,93776,M,N,46000,9.3,0,0
Hongying,Terris, 980,167-1088,CHARLOTTE,NC,28255,S,Y,38000,6.5297203,3300,3300
Aleksandr,Subbalakshmi, 848,171-1998,MOUNT EPHRAIM,NJ,08059,M,N,86500,2.4487605,0,0
Shigeo,Atarashi, 662,116-1239,MARION,MS,39342,M,N,54000,5.0,0,0
Borivoj,Israel, 307,103-1725,FE WARREN AFB,WY,82005,M,N,87000,0.0,0,0
Miche,Sessions, 862,155-2079,BRADLEY BEACH,NJ,07720,M,N,4000,1.4,0,0
Hellmut,Lidstone, 319,158-1286,DES MOINES,IA,50360,S,Y,92000,8.98,40,40
Parimal,Mugridge, 971,195-1019,HELIX,OR,97835,S,Y,57500,9.0,159,159
Tianxu,Tiemann, 207,151-2079,BENEDICTA,ME,04733,M,N,82000,8.5,0,0
Heidar,Schiel, 775,169-1931,ALAMO,NV,89001,S,Y,23000,0.0,0,0
Ludomir,Reich, 505,191-1019,AMISTAD,NM,88410,S,Y,59500,5.3,3300,3300
Zhijian,Schaffter, 602,132-1388,RIO RICO,AZ,85648,M,N,52500,3.52875,0,0
Lorenza,Openshaw, 412,109-1354,EAST SPRINGFIELD,PA,16411,M,N,4000,3.07,0,0
Branimir,Swen, 469,131-2054,WELLBORN,TX,77881,S,Y,15000,0.0,0,0
Aharon,Danner, 678,160-1688,ATHENS,GA,30608,S,Y,58000,6.0,2700,3000
Pavani,Dodenhoft, 256,127-1150,GULF SHORES,AL,36542,M,N,28000,5.0,0,0
Naotake,Leufke, 307,110-2038,FE WARREN AFB,WY,82005,M,N,8500,0.0,0,0
Katsuji,Stylianou, 917,110-1134,HARRISON,NY,10528,M,N,89500,4.4721036,0,0
Shichao,Orsini, 857,153-1130,WEST SPRINGFIELD,MA,01089,M,N,42000,5.3,0,0
Yanjie,Khajenoori, 813,195-1718,FORT LAUDERDALE,FL,33348,S,Y,15000,0.0,0,0
Hian,Waterman, 701,172-1817,PENN,ND,58362,S,Y,64500,2.50341,3300,3300
Nazim,Escriba, 401,147-1270,KINGSTON,RI,02881,M,Y,91000,0.0,0,0
Joohack,Thenmozhi, 253,139-1967,WESTPORT,WA,98595,M,N,25500,0.0,0,0
Peternela,Skowron, 620,135-1959,ALTON,KS,67623,S,Y,25000,5.4666667,2250,2250
Hilan,Bahcekapili, 215,112-1622,HERMINIE,PA,15637,S,Y,21000,3.07,0,0
Kazutaka,Peir, 561,165-1489,MILTON,FL,32571,S,Y,67500,0.0,0,0
Asmus,Osmon, 503,128-1156,PORTLAND,OR,97201,M,N,98000,9.0,0,0
Apkar,Sandoz, 703,140-1163,BOWLING GREEN,VA,22427,M,N,77500,5.75,0,0
Nanchang,Messick, 316,132-1643,MAYETTA,KS,66509,M,N,49000,6.45,0,0
Perwez,Bard, 509,198-1054,SEATTLE,WA,98119,S,Y,67000,0.0,0,0
Masami,Mehrmann, 661,114-1542,PANORAMA CITY,CA,91412,S,Y,67000,9.3,87,272
Janett,Hellwagner, 516,148-1871,BRONX,NY,10470,M,Y,7000,4.0,0,1000
Mihalis,Buchberger, 912,167-1695,DOUGLASVILLE,GA,30135,S,Y,58500,6.0,2700,3000
Jingling,Udding, 931,186-1310,SWEETWATER,TN,37874,S,Y,22000,0.0,0,0
Linore,Katzenberg, 913,163-1290,LINN,KS,66953,S,Y,18500,4.1883335,2250,2250
Atilio,Rosaz, 660,139-2062,STURGEON,MO,65284,M,N,60500,6.0,0,0
Rusong,Ponomarenko, 715,160-1987,LOGANVILLE,WI,53943,M,N,78500,5.8103523,0,0
Shunichiro,Heystek, 210,192-1065,MOUNT PLEASANT,TX,75455,S,Y,89000,0.0,0,0
Peiwei,Logrippo, 207,120-1015,NORTH TURNER,ME,04266,S,Y,31500,8.5,2850,2850
Hujun,Dahlbom, 317,186-1400,FORT WAYNE,IN,46868,M,N,20000,3.4,0,0
Maurizio,Renner, 907,188-1098,MC GRATH,AK,99627,M,N,75000,0.0,0,0
Kobbi,Bellotti, 907,130-1420,FORT WAINWRIGHT,AK,99703,S,Y,67000,0.0,0,0
Jintae,Yamagata, 479,184-1962,DYESS,AR,72330,M,N,22500,5.565794,0,0
Yoshikuni,Scheid, 774,106-1830,SPRINGFIELD,MA,01199,S,Y,64500,5.3,3575,1000
Sergiu,Remedios, 213,141-2083,SAN DIEGO,CA,92198,M,N,17000,3.52154,0,0
Teik,Pell, 603,177-1067,MANCHESTER,NH,03104,M,N,99000,0.0,0,0
Rosanna,Lincoln, 253,169-1197,TACOMA,WA,98448,M,N,29500,0.0,0,0
Guillem,Bereiter, 615,137-1061,MURFREESBORO,TN,37128,M,N,31000,0.0,0,0
Fouad,Brown, 731,114-1759,MEMPHIS,TN,38150,M,N,17500,0.0,0,0
Hidemi,Zador, 435,179-1202,TROPIC,UT,84776,M,N,52000,7.0,0,0
Friederike,Kieras, 401,170-1398,GLENDALE,RI,02826,M,N,15000,0.0,0,0
Erdogan,Flank, 787,106-1529,BOQUERON,PR,00622,M,N,32000,0.0,0,0
Anshuman,Stansfield, 787,179-1307,SAN JUAN,PR,00930,M,N,74500,0.0,0,0
Gulrukh,Abeln, 913,148-1472,ELWOOD,KS,66024,M,N,70500,6.45,0,0
Michinori,Shiomi, 701,198-1826,HAVANA,ND,58043,S,Y,93000,2.8337893,3300,3300
Efstathios,Siliprandi, 207,199-1423,ORONO,ME,04473,S,Y,40000,8.5,2850,2850
Prithviraj,Bregier, 574,116-1243,STOCKWELL,IN,47983,S,Y,37500,3.4,1000,1000
Elenita,Pion, 716,165-1188,EAST WILLIAMSON,NY,14449,S,Y,85500,4.448933,0,1000
Xioalin,Diehl, 931,145-1973,MONTEREY,TN,38574,S,Y,44500,0.0,0,0
Landy,Dye, 541,136-1659,EDDYVILLE,OR,97343,M,N,57500,9.0,0,0
Mahmut,Gilst, 314,142-1949,MC FALL,MO,64657,S,Y,21500,6.0,2100,1200
Adel,Wolfe, 720,153-1677,PUEBLO,CO,81003,S,Y,86500,4.63,0,0
Samiha,Daskalopulu, 860,197-1225,HAMDEN,CT,06518,M,N,51000,5.0,0,0
Pawel,Goffin, 818,130-1354,WATERFORD,CA,95386,M,N,64000,9.3,0,0
Hongen,Cheiner, 785,154-1161,NORTON,KS,67654,M,N,44500,6.45,0,0
Jelena,Perna, 828,188-1611,COLFAX,NC,27235,M,N,57000,6.928322,0,0
Naoki,Pistor, 623,142-1420,POLACCA,AZ,86042,S,Y,50000,3.49,2100,2300
Rosita,Warschat, 808,134-1308,LAHAINA,HI,96761,S,Y,94000,8.25,1040,1040
Burghardt,Taka, 812,190-1384,SELMA,IN,47383,S,Y,91000,3.4,1000,1000
Hsi,Terris, 678,158-1482,RUPERT,GA,31081,M,Y,32500,6.0,0,3000
Pui,Bazzichi, 662,171-2099,GLOSTER,MS,39638,S,N,49500,5.0,6000,0
Ramarao,Morris, 501,113-1351,DIAZ,AR,72043,S,Y,75500,7.0,20,20
Etsuya,Zamboni, 312,160-1108,CHICAGO,IL,60684,M,Y,87000,3.0,0,2000
Stamatina,Krauter, 260,124-1447,MATTHEWS,IN,46957,S,Y,63000,3.4,1000,1000
Nasreddine,Bergamini, 720,167-1895,AURORA,CO,80017,M,N,69500,4.63,0,0
Antonia,Talmor, 859,188-1411,LEBANON,KY,40033,S,Y,7500,2.25,20,20
Debashis,Kunieda, 708,183-1028,PEORIA,IL,61636,S,Y,65000,3.0,2000,2000
Hideho,Yuzhang, 732,100-1823,DEEPWATER,NJ,08023,M,N,85500,2.4329896,0,0
Pedro,Guttag, 309,161-1188,CAMP POINT,IL,62320,S,Y,3500,3.0,2000,2000
Friedrich,Sekine, 402,154-1305,MARSLAND,NE,69354,S,Y,74000,6.84,103,103
Hongwei,Xerokostas, 857,141-1269,GOSHEN,MA,01032,M,N,41500,5.3,0,0
Sudip,Ricardo, 973,160-1983,EAST ORANGE,NJ,07017,M,N,7000,1.4,0,0
Leyuan,Carreras, 401,177-2002,EXETER,RI,02822,M,N,56000,0.0,0,0
Javam,Stach, 973,100-1923,HAMBURG,NJ,07419,S,Y,86000,2.440875,1000,1500
Jyoti,Boege, 505,199-1193,VELARDE,NM,87582,S,Y,11500,3.757143,3300,3300
Reihaneh,Mellouli, 251,167-1940,GURLEY,AL,35748,S,Y,39500,5.0,1500,300
Carmelo,Lichtenecker, 908,192-1519,WEST CREEK,NJ,08092,M,N,8000,1.4,0,0
Patchrawat,Achilles, 803,151-1574,COLUMBIA,SC,29219,S,Y,41000,7.0,3300,3300
Maryann,Likeman, 304,159-1869,DRYBRANCH,WV,25061,M,N,13500,3.245,0,0
Gholamali,Mapelli, 917,109-1333,LEE CENTER,NY,13363,M,N,26000,4.104268,0,0
Krasimir,Schicker, 225,180-1408,GIBSON,LA,70356,M,N,500,2.0,0,0
Jindong,Ghemri, 515,109-1933,COLWELL,IA,50620,S,Y,72000,8.98,40,40
Tzonelih,Yarnikh, 512,174-1684,WACO,TX,76716,S,Y,1500,0.0,0,0
Ranjit,Jarzembski, 402,124-2047,SAINT EDWARD,NE,68660,M,N,46000,6.84,0,0
Sadun,Kean, 720,151-1478,CROWLEY,CO,81034,S,Y,36000,4.63,0,0
Gerardo,Siler, 603,189-1012,BARRINGTON,NH,03825,M,N,34500,0.0,0,0
Stein,Chengzheng, 571,190-1918,DOSWELL,VA,23047,M,N,24000,5.75,0,0
Torleiv,Weinand, 619,121-1844,SAN DIEGO,CA,92137,S,Y,16500,3.4035013,87,272
Athanassios,Streinu, 940,145-2073,BLOOMING GROVE,TX,76626,S,Y,87000,0.0,0,0
Norris,Uchoa, 787,168-2092,AGUADILLA,PR,00604,S,Y,6000,0.0,0,0
Pawan,Masullo, 303,113-1741,GUNNISON,CO,81247,M,N,87500,4.63,0,0
Greg,Rofougaran, 541,158-2081,TENMILE,OR,97481,M,N,97500,9.0,0,0
Mandy,McSkimin, 856,176-1904,SCHOOLEYS MOUNTAIN,NJ,07870,M,N,35500,1.6444479,0,0
Kok,Collaud, 765,130-1853,BLANFORD,IN,47831,S,Y,73000,3.4,1000,1000
Harm,Hartrumpf, 505,177-1304,TORREON,NM,87061,S,Y,46500,5.3,3300,3300
Yoshiak,Leduc, 865,119-1592,CUMBERLAND CITY,TN,37050,S,Y,76000,0.0,0,0
Betty,Machiraju, 301,111-1089,DAYTON,MD,21036,S,Y,84500,4.75,2400,2400
Augusta,Horiuchi, 907,155-1029,TELLER,AK,99778,S,Y,12000,0.0,0,0
Ounissa,McDaniel, 571,168-1669,SALUDA,VA,23149,S,Y,57500,5.75,900,900
Chunming,Geerts, 848,199-2022,WILLIAMSTOWN,NJ,08094,M,N,44000,1.7785,0,0
Thibault,Antonisse, 562,129-1307,FREMONT,CA,94539,M,Y,56500,9.3,0,272
Donatella,Terrat, 802,160-1883,NORTH HERO,VT,05474,S,Y,20500,3.6,3300,3300
Maylis,Oppliger, 410,190-1236,BALTIMORE,MD,21274,M,N,58500,4.75,0,0
Petar,Mitkas, 808,182-1305,ELEELE,HI,96705,M,N,38500,7.979605,0,0
Kanonluk,Ishigami, 812,167-1993,ANDERSON,IN,46011,S,Y,6000,3.4,1000,1000
Khue,Recio, 435,159-1482,SALT LAKE CITY,UT,84124,S,Y,21500,7.0,2475,2475
Hiroakira,Hooley, 520,197-1243,PHOENIX,AZ,85050,M,Y,12500,2.9087498,0,2300
Maggie,Struckmann, 970,159-1583,DENVER,CO,80217,S,N,45000,4.63,0,0
Sidhar,Schroeppel, 304,175-2093,SMITHBURG,WV,26436,S,Y,59000,6.4300003,2000,2000
Aidan,Klimko, 806,155-1778,AUSTIN,TX,78769,S,Y,4000,0.0,0,0
Akimou,Parisi, 941,179-1864,JACKSONVILLE,FL,32255,M,Y,94500,0.0,0,0
Wil,Sipma, 214,194-1017,ABILENE,TX,79699,M,N,22000,0.0,0,0
Clizio,Vogley, 202,109-1437,WASHINGTON,DC,20018,M,N,20500,6.8625,0,0
Alden,Rebizant, 717,164-1188,POTTSVILLE,PA,17901,M,Y,1500,3.07,0,0
Guhan,Bernsen, 605,199-1266,RAMONA,SD,57054,M,N,5500,0.0,0,0
Liao,Michaylov, 985,105-1228,FLORA,LA,71428,S,Y,75000,6.0,4500,1000
Damanjit,Kinley, 808,175-1502,HONOLULU,HI,96814,S,Y,77500,8.25,1040,1040
Pang,Daws, 256,139-1212,HAYNEVILLE,AL,36040,M,N,6000,5.0,0,0
Dann,Maarek, 203,119-1064,NAUGATUCK,CT,06770,S,N,58500,5.0,12750,0
Teresemarie,Colliat, 860,189-1713,FAIRFIELD,CT,06828,S,Y,3000,3.0,12750,0
Kirstie,Heggernes, 989,136-1063,CANTON,MI,48188,M,N,88000,3.9,0,0
Zosimo,Rikino, 870,116-1240,GRUBBS,AR,72431,S,Y,8000,2.0997968,20,20
Biao,Smeets, 740,185-1180,CINCINNATI,OH,45207,S,Y,61000,2.5709128,1300,1300
Yim,Hooper, 540,136-1260,ARLINGTON,VA,22203,S,Y,41500,5.75,900,900
Yousri,Strehl, 541,119-1347,SUMMER LAKE,OR,97640,S,Y,5500,7.9230766,159,159
Ronny,Leivant, 937,162-1285,SOLON,OH,44139,M,N,27000,1.4422872,0,0
Yunn,Dharanipragada, 208,132-1360,NEZPERCE,ID,83543,S,Y,73000,7.8,3300,3300
Tiina,Gutta, 843,121-1036,HARLEYVILLE,SC,29448,S,Y,62500,7.0,3300,3300
Morio,Boy, 480,172-1600,TUBAC,AZ,85646,S,Y,50000,3.49,2100,2300
Vesa,dArgence, 605,164-1387,VIRGIL,SD,57379,M,N,74000,0.0,0,0
Weiru,Collinot, 406,164-1371,LODGE GRASS,MT,59050,M,N,41000,6.9,0,0
Yael,Hisaki, 727,199-1022,TAMPA,FL,33615,M,N,78000,0.0,0,0
Harmen,Charoenkitkarn, 202,104-1799,WASHINGTON,DC,20581,M,N,74000,9.0,0,0
Hungwen,Zeroual, 405,183-1474,BARTLESVILLE,OK,74003,M,N,35000,6.25,0,0
Benkt,Pacheco, 907,162-1858,KENAI,AK,99611,M,N,92000,0.0,0,0
Akeo,Christinaz, 419,166-1856,CHANDLERSVILLE,OH,43727,M,N,87000,3.4339795,0,0
Maylis,Oppliger, 405,143-1085,CHELSEA,OK,74016,S,Y,4500,2.7361112,1000,1000
Gabor,Challis, 503,132-1605,COOS BAY,OR,97420,M,N,42500,9.0,0,0
Olivia,Schloegel, 939,124-1052,GUANICA,PR,00653,S,Y,13000,0.0,0,0
Xiaoxin,Speel, 812,145-1649,HYMERA,IN,47855,M,N,55000,3.4,0,0
Raimonds,Paillier, 501,163-2091,SILOAM SPRINGS,AR,72761,M,N,22000,5.446277,0,0
Brion,dAcierno, 401,125-1349,SLOCUM,RI,02877,M,N,75000,0.0,0,0
Pete,Andraka, 615,117-1924,KNOXVILLE,TN,37909,S,Y,77000,0.0,0,0
Kish,Hjaresen, 270,190-1210,HAZARD,KY,41701,M,N,19000,2.8888888,0,0
Teresa,Kalamatianos, 928,138-1666,PHOENIX,AZ,85032,S,Y,97500,4.2262497,2100,2300
Yumiko,Potthoff, 864,167-1191,LEXINGTON,SC,29071,S,Y,93500,7.0,3300,3300
Pang,Daws, 262,164-1792,NEKOOSA,WI,54457,S,Y,90000,6.010166,700,400
Pijush,Galyean, 763,138-1061,LONG PRAIRIE,MN,56347,M,N,58000,7.3505335,0,0
Svante,Chelyah, 435,122-1550,OGDEN,UT,84201,M,N,55500,7.0,0,0
Guri,Vanuxeem, 435,129-1067,SAINT GEORGE,UT,84791,M,N,67000,7.0,0,0
Varsha,Bercovich, 401,194-1822,PROVIDENCE,RI,02940,S,Y,88500,0.0,0,0
Arding,Ulery, 848,147-1570,MARMORA,NJ,08223,S,Y,4500,1.4,1000,1500
Hilding,Sawamiphakdi, 216,181-1708,MANSFIELD,OH,44906,S,N,97500,3.7825255,1300,0
Demetri,Isaacson, 304,168-1992,DINGESS,WV,25671,M,N,42000,5.24,0,0
Klara,Uellner, 208,144-1172,SALMON,ID,83467,M,Y,59500,7.8,0,3300
Sachio,Unger, 662,173-1496,AMORY,MS,38821,M,N,54000,5.0,0,0
Claus,Gartshore, 603,115-1438,ROCHESTER,NH,03839,S,Y,44000,0.0,0,0
Masakazu,Baowen, 606,171-1481,RAYWICK,KY,40060,S,Y,59500,5.138889,20,20
Einoshin,Sagert, 402,124-1548,BENNINGTON,NE,68007,M,N,31000,6.84,0,0
Alexandr,Ramaswami, 501,168-1496,GRADY,AR,71644,M,N,30000,7.0,0,0
Kimiko,Gusat, 605,177-2028,CARPENTER,SD,57322,M,N,37000,0.0,0,0
Yoshizumi,Uzun, 641,174-1619,IRETON,IA,51027,M,Y,89500,8.98,0,40
Uldis,Kamiko, 713,125-1848,DENTON,TX,76204,S,Y,8500,0.0,0,0
Rafic,Sangal, 551,183-1010,HASBROUCK HEIGHTS,NJ,07604,S,Y,2500,1.4,1000,1500
Jianjian,Tickle, 505,198-1222,ALBUQUERQUE,NM,87106,S,Y,100000,5.3,3300,3300
Fintan,Peckham, 720,118-1246,DENVER,CO,80236,S,Y,61500,4.63,0,0
Visit,Babcock, 678,198-1222,ABBEVILLE,GA,31001,M,N,47500,6.0,0,0
Yaakov,Batenin, 334,163-1691,MONTGOMERY,AL,36130,M,N,76500,5.0,0,0
Naresh,Junger, 507,177-2000,DILWORTH,MN,56529,S,Y,62500,7.5906615,3300,3300
Dierk,Hernek, 801,182-1310,KANAB,UT,84741,S,N,80000,7.0,2475,0
Claudine,Cochrane, 276,121-1444,GRETNA,VA,24557,S,Y,27000,5.75,900,900
Dante,Sanetoh, 208,167-1795,DIETRICH,ID,83324,S,Y,9500,3.9677582,3300,3300
Zineb,Wallrath, 907,135-1756,KOYUKUK,AK,99754,S,Y,14000,0.0,0,0
Manuvir,Everling, 920,175-1503,MEQUON,WI,53097,M,N,42500,5.1848474,0,0
Barnett,Cheikes, 270,108-2031,CANMER,KY,42722,S,Y,60000,5.166667,20,20
Sakari,Ulupinar, 907,170-1548,ELFIN COVE,AK,99825,M,N,46000,0.0,0,0
Karine,Karsner, 304,179-1103,SPENCER,WV,25276,S,Y,5500,3.0,2000,2000
Jeong,Rosendahl, 208,136-1896,SANDPOINT,ID,83864,M,N,45000,7.8,0,0
Omer,Petho, 701,143-2066,HOPE,ND,58046,S,N,53000,2.3700993,3300,0
Benedikt,Hertzum, 660,144-1372,CLARK,MO,65243,M,N,97000,6.0,0,0
Wilhelm,Brownfield, 313,149-1870,SAGINAW,MI,48606,S,Y,61500,3.9,3100,3100
Randy,Kawagoe, 401,165-1210,SLOCUM,RI,02877,M,N,15500,0.0,0,0
Ana,Grostick, 503,104-1827,PORTLAND,OR,97269,S,Y,90500,9.0,159,159
Vannevar,Mallorqui, 405,114-1539,BYARS,OK,74831,S,N,38500,6.25,1000,0
Kehsiung,Bly, 956,135-1159,EL PASO,TX,88578,S,Y,69000,0.0,0,0
Feiyu,Bryce, 201,109-1810,FORKED RIVER,NJ,08731,S,Y,68500,2.1648855,1000,1500
Trung,Ellozy, 901,127-1951,KNOXVILLE,TN,37921,M,N,37000,0.0,0,0
JoAnne,Kohri, 410,107-1150,HUNTINGTOWN,MD,20639,M,N,95500,4.75,0,0
Shaowei,Baumker, 715,105-1528,EDEN,WI,53019,M,N,62500,5.53235,0,0
Leo,Dayhoff, 620,188-1698,WICHITA,KS,67214,S,Y,39500,6.45,2250,2250
Ramayya,Delatizky, 864,169-1043,GEORGETOWN,SC,29440,M,N,63000,7.0,0,0
Chihping,Sanderson, 724,110-1938,NEWVILLE,PA,17241,S,Y,17500,3.07,0,0
Takuyu,Iisaka, 641,107-1827,AREDALE,IA,50605,S,Y,70000,8.98,40,40
Fumino,Candy, 480,193-2039,MIAMI,AZ,85539,S,Y,2000,2.87,2100,2300
Bharathi,Capri, 802,141-1865,NORTH HARTLAND,VT,05052,S,Y,92000,4.8355083,3300,3300
Bernward,Winograd, 785,152-1294,SAINT PAUL,KS,66771,M,N,34000,6.45,0,0
Kyungsook,Cavin, 606,138-1761,HIMA,KY,40951,M,N,4000,2.0555556,0,0
Nachimuthu,Gruenwald, 484,165-1393,PHILADELPHIA,PA,19136,S,Y,36000,3.07,0,0
Jan,Knapik, 602,127-1600,TOMBSTONE,AZ,85638,S,Y,26000,3.1179998,2100,2300
Valentina,Lovett, 304,191-1619,LOST CITY,WV,26810,M,N,66000,6.5,0,0
Pierangelo,Gori, 612,170-1260,SAINT PAUL,MN,55175,S,Y,80500,7.85,3300,3300
Maryse,Luukkainen, 443,164-1109,TAKOMA PARK,MD,20912,S,Y,20000,4.75,2400,2400
Loet,Hassin, 334,197-1821,CAMDEN,AL,36726,S,N,27500,5.0,1500,0
Lai,Smithline, 781,126-1151,DRURY,MA,01343,S,Y,91500,5.3,3575,1000
Yingping,Njiwoua, 601,152-2055,KOKOMO,MS,39643,M,N,46000,5.0,0,0
Zhanqiu,Lobelle, 520,105-1253,PHOENIX,AZ,85060,M,N,29500,3.1722498,0,0
Wei,Charatonik, 270,100-1523,MC DANIELS,KY,40152,M,N,21500,3.0277777,0,0
Fiora,Mikkilineni, 787,137-1393,SAN JUAN,PR,00925,M,N,48500,0.0,0,0
Serdar,Gold, 304,178-1602,BLOOMERY,WV,26817,M,N,16500,3.455,0,0
Vladimiro,Heilandt, 414,163-2024,PRESQUE ISLE,WI,54557,M,N,14000,4.689656,0,0
Xinying,Ullman, 248,163-1718,MARQUETTE,MI,49855,S,Y,14500,3.9,3100,3100
Yida,Usdin, 870,100-1728,DELAWARE,AR,72835,M,N,93500,7.0,0,0
Coco,Rheingans, 573,104-1527,HIGHLANDVILLE,MO,65669,S,Y,49000,6.0,2100,1200
Armando,Desnoyer, 229,134-1129,SAPELO ISLAND,GA,31327,M,N,35000,6.0,0,0
Kunio,Scofield, 302,159-1083,HARTLY,DE,19953,M,N,61500,5.95,0,0
Malgorzata,Gwinn, 860,115-2043,BRISTOL,CT,06010,M,Y,82000,5.0,0,0
Zhaohui,Nadella, 612,133-1656,BUCKMAN,MN,56317,S,N,57000,7.2971716,3300,0
Willm,Fratarcangeli, 423,116-1758,ALPINE,TN,38543,M,N,30500,0.0,0,0
Vicenc,Metge, 203,149-1772,WINDHAM,CT,06280,M,N,1500,3.0,0,0
Subhada,Philippatos, 864,189-1817,ORANGEBURG,SC,29118,M,N,70000,7.0,0,0
Annita,Bidulock, 939,103-2027,SABANA SECA,PR,00952,S,Y,86000,0.0,0,0
Yukari,Bugrara, 919,188-1216,HENDERSON,NC,27536,M,N,21000,6.173077,0,0
Nishit,Seipel, 605,104-1901,TABOR,SD,57063,S,Y,62000,0.0,0,0
Olgo,Morvan, 775,132-1460,LAS VEGAS,NV,89119,S,Y,52000,0.0,0,0
Debabrata,McElwain, 917,120-1744,WEST KILL,NY,12492,S,Y,79000,4.4112806,0,1000
Jiri,Schirra, 276,179-1422,SKIPPERS,VA,23879,M,N,85000,5.75,0,0
Sabyasachi,Zheng, 401,137-2060,WAKEFIELD,RI,02880,M,Y,73500,0.0,0,0
Man,Bolotov, 435,194-1172,HUNTINGTON,UT,84528,S,Y,34500,7.0,2475,2475
Yulun,Moilanen, 507,143-1333,BRIMSON,MN,55602,S,Y,25500,5.6162753,3300,3300
Calton,Fauth, 417,135-1777,KNOB NOSTER,MO,65336,S,Y,92000,6.0,2100,1200
Mustafa,Juuso, 939,130-1354,GUAYAMA,PR,00784,S,Y,64000,0.0,0,0
Myrna,Derry, 212,197-1662,STELLA NIAGARA,NY,14144,S,Y,50500,4.246189,0,1000
Zhonghui,Anson, 540,109-1232,ALEXANDRIA,VA,22333,S,Y,91000,5.75,900,900
Kewen,Huleihel, 304,120-1430,ENTERPRISE,WV,26568,M,N,11000,3.07,0,0
Wlodek,Bernfeld, 360,125-1048,RICHLAND,WA,99354,S,Y,44000,0.0,0,0
Kerkko,Kriegman, 939,165-1993,MAYAGUEZ,PR,00680,S,N,25500,0.0,0,0
Gen,Bierbaum, 316,114-1435,WESTMORELAND,KS,66549,S,Y,11500,3.5,2250,2250
Serena,Kosanke, 660,196-1224,KNOB LICK,MO,63651,S,Y,25000,6.0,2100,1200
Bienvenido,Lampaert, 920,143-1299,BRULE,WI,54820,M,N,64500,5.5671005,0,0
Deren,Simons, 316,130-1037,DOWNS,KS,67437,S,Y,6000,3.5,2250,2250
Xiangzhen,Winter, 573,131-1255,GRANDVIEW,MO,64030,S,Y,41500,6.0,2100,1200
Elia,Klimesch, 787,131-1873,BARRANQUITAS,PR,00794,S,Y,3000,0.0,0,0
Fosca,Birch, 952,167-1290,WAUBUN,MN,56589,S,Y,69500,7.85,3300,3300
Mee,Qureshi, 860,163-1891,HARTFORD,CT,06145,M,N,70500,5.0,0,0
Amelie,Challab, 262,148-2071,ELAND,WI,54427,M,N,34000,5.0371585,0,0
Jasmina,Hanafy, 224,155-1215,BECKEMEYER,IL,62219,S,N,18000,3.0,2000,0
Emilia,Reznick, 702,132-1723,LAS VEGAS,NV,89124,M,N,12500,0.0,0,0
Line,Bhagavan, 360,102-1030,WHITE SALMON,WA,98672,M,N,41500,0.0,0,0
Teofilo,Szyerski, 503,108-1187,STANFIELD,OR,97875,M,N,22500,9.0,0,0
Atanas,Bolsens, 316,108-1804,KINGMAN,KS,67068,S,Y,23500,5.1716666,2250,2250
Arto,Fuchi, 660,156-1279,LONE JACK,MO,64070,S,Y,93500,6.0,2100,1200
Haider,Wooldridge, 907,194-2021,FALSE PASS,AK,99583,S,Y,49000,0.0,0,0
Samiha,Cousins, 586,109-1033,JASPER,MI,49248,M,N,41500,3.9,0,0
Edwige,Siemens, 307,199-1926,EVANSTON,WY,82930,M,N,95500,0.0,0,0
Sigfus,Glymour, 219,174-1297,FISHERS,IN,46037,S,Y,33500,3.4,1000,1000
